id	name	popularity	available_markets	release_date	total_tracks
4nfpHvg7KFcAUTg6yajpvN	Một Vạn Năm	57	182	2022-09-09	9
4bs6KH6sFnt1Y08VtKBB0q	Chưa Quên Người Yêu Cũ	42	184	2022-08-03	1
4uuVCPa7IR9apM3yvmbJUH	New Year, New Me	0	93	2022-12-17	30
0Z8Qw5gbQUdtCDBY9JnX1z	NYÅR	0	93	2022-12-17	58
2A33a2Q1YcEpHeYpBPPqZ1	Noel Nô Em	0	95	2022-12-17	13
0Z8Qw5gbQUdtCDBY9JnX1z	NYÅR	0	93	2022-12-17	58
0KGRd0yjrjkykgpuGW8083	Krafttraining 2023	0	94	2022-12-17	90
6tN6graMf5OKQ1vP8TIn1H	This is Pop Hits	0	94	2022-12-16	32
0KGRd0yjrjkykgpuGW8083	Krafttraining 2023	0	94	2022-12-17	90
2lop0zAlLKn8isVV4HRjMV	Driving Music	0	95	2022-12-16	13
2mNu0xPOe069wnBziRbHa8	NEW YEAR DANCE PARTY 2023	0	95	2022-12-16	26
3rbOxUsB1PKIB8AZ4dAZ82	Party Playlist	0	94	2022-12-16	87
2lop0zAlLKn8isVV4HRjMV	Driving Music	0	95	2022-12-16	13
0KGRd0yjrjkykgpuGW8083	Krafttraining 2023	0	94	2022-12-17	90
6oTdnpLlzYBz2ihiva785G	New Year, New Energy	0	95	2022-12-16	25
2mNu0xPOe069wnBziRbHa8	NEW YEAR DANCE PARTY 2023	0	95	2022-12-16	26
0KGRd0yjrjkykgpuGW8083	Krafttraining 2023	0	94	2022-12-17	90
3rbOxUsB1PKIB8AZ4dAZ82	Party Playlist	0	94	2022-12-16	87
4ceg3FYaT9Zl5H1dJDXISG	Party Deluxe 2022/2023	0	94	2022-12-16	89
4ceg3FYaT9Zl5H1dJDXISG	Party Deluxe 2022/2023	0	94	2022-12-16	89
7FR8BsDiO1kDkbVwFDlSJG	New Years House Party	0	95	2022-12-16	25
11eMyrE2NYK8q0W43GbR5v	hai mươi hai (22)	40	182	2022-05-25	1
5NJXb5RyhAIY2ooqumkSyA	ngủ một mình	41	182	2022-11-17	1
3bvrwbi7mFIqOa8XvYTA2L	Anh Tự Do Nhưng Cô Đơn	40	182	2022-11-10	1
5IRZs8eeDLf4flNXbWJ4K9	Thiêu Thân	40	183	2022-06-17	1
08dOZYfAA8NCB6500flyrg	Dáng Xấu	31	183	2022-12-09	1
0DfU8bP8ZbR0SBJSfRddR3	Là Do Em Xui Thôi	40	183	2022-01-18	1
1ZutY9YHq5MEPDTT0wy06u	THERE'S NO ONE AT ALL	42	183	2022-04-28	1
1T2W9vDajFreUuycPDjUXk	I NEVER DIE	72	182	2022-03-14	8
47s9DxATUVI8vmpMKDy7zx	Bận Lòng	39	183	2022-10-03	1
0S4pP8MBY9p7ngFWIZQAJv	BORN PINK	81	54	2022-09-16	8
5Ub3m8zEYNRvMDnq2CYqeR	Bài này không để đi diễn	41	183	2022-10-17	1
6BUPtXbb2tspYnkVdg5Ef7	Easy On My Eyes	73	183	2022-08-19	7
7iTPHySDnmrLowhnjn34qk	Kỳ Vọng Sai Lầm	40	183	2022-09-26	1
0OuoHWf8yB0TPzoBWw1R1S	Here With Me	80	182	2022-09-22	1
5bKmRG1QsggSXoHxYUnPIY	Pink Venom	66	54	2022-08-19	1
7JOa0R0TMdg40E6s7gtlx4	Chạy Về Khóc Với Anh	41	184	2022-01-26	1
0VcUiF3nAK2UWeWpRzESob	Diễn viên tồi	41	183	2022-09-13	1
4kQw3hVJN1dNorjie6wObf	Tệ Thật, Anh Nhớ Em	39	183	2022-04-03	1
7qrZu53xdYZvbCrLpoA92t	Peter Pan Was Right	60	182	2022-04-29	1
3hR3yDFUQhLex9F9goRs80	thay mọi cô gái yêu anh	41	184	2022-02-06	1
7egcy2gtlyoUUl1OlQrY3R	Rush Hour	67	180	2022-09-22	1
0mSAYqvDCz9BcjSGLaRSyS	Quên Đặt Tên	40	184	2022-06-23	1
2FugIEqHbqksCHvqnqxc0y	Lý Do Nào Để Quay Lại Với Nhau	40	183	2022-05-20	1
36Dvo2mP3FZEERwagzc0YB	Sau Lưng Anh Có Ai Kìa	40	183	2022-04-11	1
1HMLpmZAnNyl9pxvOnTovV	NewJeans 1st EP 'New Jeans'	81	183	2022-08-01	4
6al2VdKbb6FIz9d7lU7WRB	Proof	85	184	2022-06-10	35
7txGsnDSqVMoRl6RQ9XyZP	HEROES & VILLAINS	90	182	2022-12-02	15
0FrC9lzgVhziJenigsrXdl	Jack In The Box	76	183	2022-07-15	10
4h8yUXtgFWfqMY7WdK1eIg	CITOPIA	54	183	2022-11-11	10
0S4pP8MBY9p7ngFWIZQAJv	BORN PINK	81	54	2022-09-16	8
2LTqBgZUH4EkDcj8hdkNjK	CHARLIE	74	182	2022-10-07	12
4h8yUXtgFWfqMY7WdK1eIg	CITOPIA	54	183	2022-11-11	10
0S4pP8MBY9p7ngFWIZQAJv	BORN PINK	81	54	2022-09-16	8
7osIz9TFdxYQAm4fgakanT	SEXY NUKIM (feat. RM of BTS)	66	183	2022-09-01	1
4Mc7WwYH41hgUWeKX25Sot	FEARLESS	76	183	2022-05-02	5
5ubYgMyDLqD3GlaMmmx5T4	Buồn Không Thể Buông	40	183	2022-09-30	1
2guZsP5qfBxYma8Y4mhVff	50/50	53	183	2022-03-21	8
22YHa0g0LTJ9kjQ03me248	KOSMIK	52	183	2022-10-31	11
22YHa0g0LTJ9kjQ03me248	KOSMIK	52	183	2022-10-31	11
6al2VdKbb6FIz9d7lU7WRB	Proof	85	183	2022-06-10	35
5l7m3Ck0FMb0nDgzZfOBr3	Door To Nowhere	46	183	2022-11-17	9
3HHNR44YbP7XogMVwzbodx	Twelve Carat Toothache	82	182	2022-06-03	14
04PEOM6kIEeq9lRp1asNP2	I Ain’t Worried (Music From The Motion Picture "Top Gun: Maverick")	83	182	2022-05-13	1
151w1FgRZfnKZA9FEcg9Z3	Midnights	95	182	2022-10-21	13
69AaAkdktFGnk9POmHENkT	this is what ____ feels like (Vol. 1-4)	82	180	2022-09-23	12
54ldA9MLyxM6GaROHlQOFH	TikTok Songs: Pop Hits 2022 | 2023	0	184	2022-12-16	66
1mpvqeUEfVDsfpH8E3lCDf	Viral Pop Hits 2022 | 2023	0	183	2022-12-16	63
7FRxAaVtIZXIjXZUGNU8Qb	TikTok Viral Hits 2022 | 2023	0	184	2022-12-16	74
7gErZg7XRuXGKutHCxLALG	TikTok Pop Hits 2022 | 2023	0	184	2022-12-16	64
4ayY1GNvCgBfu0U9WoOeie	Viral TikTok Hits 2022 | 2023	0	183	2022-12-16	74
