id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	genre
5QO79kh1waicV47BqGRL3g	0.68	0.826	0	-5.487	1	0.0309	0.0212	1.24e-05	0.543	0.644	118.051	215627	4	canadian contemporary r&b
2raE5xoue46A4RsHOjhglu	0.904	0.313	5	-15.182	0	0.268	0.849	8.06e-06	0.132	0.473	129.956	210557	4	v-pop
7oBUoEbCDF748UkHnLusUB	0.811	0.276	7	-14.892	1	0.042	0.785	2.83e-06	0.128	0.704	95.021	272152	4	v-pop
3BwFxsC7QpRejdE9GXFQI4	0.794	0.595	0	-7.846	1	0.336	0.708	0	0.0984	0.239	79.998	186816	4	v-pop
5QDLhrAOJJdNAmCTJ8xMyW	0.746	0.765	6	-4.41	0	0.0993	0.0112	0	0.0936	0.737	114.044	199054	4	k-pop
4h3K653rm69JYWpO4du2BJ	0.492	0.355	1	-9.158	1	0.0304	0.854	1.84e-06	0.125	0.34	125.478	282667	4	v-pop
11hcyWq7qSwBE3bvv5Ialn	0.638	0.355	11	-7.637	1	0.0882	0.8	0	0.11	0.815	145.148	213490	4	indie viet
1w3eUC89GPspKpi62tPwjt	0.518	0.403	0	-8.311	1	0.0326	0.818	1.7e-06	0.146	0.194	122.967	254476	4	v-pop
350jyz12XEeC1blsfcrYaG	0.674	0.431	0	-13.275	1	0.216	0.713	0	0.346	0.438	164.044	198000	4	v-pop
1fh5Sf3fFESFOS8D82RQiI	0.637	0.31	8	-11.232	1	0.0362	0.755	3.22e-06	0.0925	0.374	104.07	204231	4	v-pop
1ecVks3GJX8U67DvhVDVBn	0.438	0.408	3	-9.857	1	0.0705	0.688	0	0.121	0.373	92.053	253500	4	v-pop
0o9zmvc5f3EFApU52PPIyW	0.6	0.76	6	-6.124	0	0.0452	0.166	4.09e-05	0.189	0.519	158.078	185573	4	japanese teen pop
5FVbvttjEvQ8r2BgUcJgNg	0.566	0.716	1	-5.733	1	0.0424	0.00691	0	0.37	0.45	81.068	207481	4	k-pop
